PERGUNTAS,RESPOSTAS
Qual o procedimento para realizar a inscrição e matrícula?,"Para se inscrever, leia o edital do curso desejado e verifique os critérios de seleção (prova, entrevista, análise de currículo, etc.). Em seguida, siga as normas do edital para solicitar a matrícula (pagamento da taxa e assinatura de contrato/termo de compromisso, se aplicável)."
Qual a documentação necessária para realizar a matrícula?,"Será necessário apresentar um documento de identificação (RG ou CNH), diploma de curso superior e o contrato ou termo de compromisso assinado."
Posso iniciar a pós-graduação estando no último semestre da faculdade?,"Sim, o comprovante de conclusão do curso superior pode ser usado para homologar a inscrição, mas o diploma deve ser apresentado para efetivar a matrícula."
Preciso ser graduado em uma área específica para fazer a pós-graduação?,Consulte o edital e a página do curso para verificar quais cursos superiores são aceitos como pré-requisito.
Qual é a diferença entre pós-graduação lato sensu e stricto sensu?,"A lato sensu foca em especialização profissional (cursos curtos com certificado), enquanto a stricto sensu é voltada para pesquisa e formação acadêmica (mestrado/doutorado com diploma)."
Qual a periodicidade das aulas?,"Varia conforme o curso; pode ser semanal, quinzenal ou mensal. Confira na página específica do curso."
Posso aproveitar disciplinas feitas na graduação?,"Apenas disciplinas cursadas em outro curso lato sensu, no máximo dois anos antes, podem ser aproveitadas. Consulte o regulamento específico."
Quais são as formas de pagamento?,Os cursos podem ser pagos via boleto bancário ou Pix.
A Escola de Pós UFG oferece cursos gratuitos?,"Sim, alguns cursos são gratuitos. Verifique os detalhes na página do curso."
Os cursos são apenas presenciais?,"Não, são oferecidos cursos presenciais, híbridos e a distância."
Como posso obter mais informações sobre um curso?,"Consulte a página do curso ou entre em contato com a Escola de Pós UFG pelo telefone, WhatsApp ou e-mail."
A Escola de Pós UFG oferece bolsas de estudo?,"Algumas vagas com isenção de mensalidades são oferecidas para servidores da UFG e grupos minorizados, conforme especificado nos editais."
Portador de diploma de curso tecnólogo pode fazer MBA ou pós-graduação?,"Sim, os diplomas de cursos superiores de tecnologia são aceitos para MBA e pós-graduação."
Existe a opção de trancamento de matrícula?,"Não, conforme o Regulamento Geral da Pós-Graduação Lato Sensu da UFG (Resolução CEPEC N° 1630/2019), não há possibilidade de trancamento de matrícula."
É possível mudar de curso?,"Sim, mas é necessário ingressar no processo seletivo do novo curso e seguir as normas do respectivo edital."
Posso mudar de curso antes de começar as aulas?,"Sim, desde que siga as mesmas orientações, ingressando no processo seletivo do novo curso e respeitando o edital."
O curso pode ser cancelado?,"Sim, é possível cancelar o curso, mas deve atender aos requisitos estabelecidos no contrato."
Existe algum canal de interação entre o aluno e o professor?,"Sim, os alunos podem se comunicar com os professores pelo sistema acadêmico, e-mail ou ambiente virtual de aprendizagem."
Tenho dúvidas sobre minha matrícula. Com quem devo falar?,Entre em contato com a coordenação do curso por e-mail. O endereço está disponível na página do curso.
Meu curso foi cancelado. O que devo fazer?,Contate a coordenação do curso ou a Escola de Pós UFG para obter orientações sobre os motivos do cancelamento e possíveis soluções.
Qual a frequência e nota mínima em cada disciplina?,"A frequência mínima geralmente exigida é de 75%, e a nota mínima para aprovação é 7,0 (sete). Verifique o regulamento do curso para requisitos específicos."
O que devo fazer em caso de ausência em alguma disciplina?,"Informe a coordenação do curso ou o professor responsável, justificando o motivo da ausência."
Como funciona o TCC?,"O TCC é obrigatório para receber o certificado. A avaliação pode ser feita pelo orientador ou banca examinadora, seguindo critérios do regulamento e projeto pedagógico do curso."
Qual o procedimento para requerer o Certificado de Conclusão?,"Contate a coordenação do curso por e-mail para solicitar o certificado, desde que tenha atendido os requisitos do regulamento (frequência mínima, nota mínima e aprovação no TCC)."